Timestamp,Year,Major(s),Living Situation,Involvements,A Day in your Life  [12am-1am],A Day in your Life  [1am-2am],A Day in your Life  [2am-3am],A Day in your Life  [3am-4am],A Day in your Life  [4am-5am],A Day in your Life  [5am-6am],A Day in your Life  [6am-7am],A Day in your Life  [7am-8am],A Day in your Life  [8am-9am],A Day in your Life  [9am-10am],A Day in your Life  [10am-11am],A Day in your Life  [11am-12pm],A Day in your Life  [12pm-1pm],A Day in your Life  [1pm-2pm],A Day in your Life  [2pm-3pm],A Day in your Life  [3pm-4pm],A Day in your Life  [4pm-5pm],A Day in your Life  [5pm-6pm],A Day in your Life  [6pm-7pm],A Day in your Life  [7pm-8pm],A Day in your Life  [8pm-9pm],A Day in your Life  [9pm-10pm],A Day in your Life  [10pm-11pm],A Day in your Life  [11pm-12am],Other
2/26/2026 18:12:54,Junior,"ECE, ESS",Off-Campus Housing,"Club Sports, Academic Clubs, Green Team",Personal Care,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Meals,Class,Studying/Homework,Class,Leisure/Entertainment,Studying/Homework,Studying/Homework,Personal Care,Clubs/Organizations,Meals,Leisure/Entertainment,Leisure/Entertainment,Social Time,Social Time,Leisure/Entertainment,
2/26/2026 18:13:39,Junior,Management Engineering ,Off-Campus Housing,Varsity Athlete,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Exercise/Sports/Practice,Class,Social Time,Social Time,Social Time,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Meals,Leisure/Entertainment,Leisure/Entertainment,Sleeping,
2/26/2026 18:14:37,Sophomore,CE,Off-Campus Housing,Varsity Athlete,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Meals,Class,Class,Meals,Class,Class,Studying/Homework,Exercise/Sports/Practice,Meals,Studying/Homework,Studying/Homework,Meals,Studying/Homework,Studying/Homework,Social Time,Social Time,
2/26/2026 18:15:19,Junior,RBE,Greek Housing,"Varsity Athlete, Greek Life",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Meals,Class,Class,Exercise/Sports/Practice,Meals,Class,Studying/Homework,Studying/Homework,Studying/Homework,Exercise/Sports/Practice,Meals,Studying/Homework,Studying/Homework,Social Time,Personal Care,Leisure/Entertainment,Leisure/Entertainment,
2/26/2026 18:15:38,Sophomore,ME,Off-Campus Housing,"Varsity Athlete, Greek Life",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Meals,Exercise/Sports/Practice,Personal Care,Class,Class,Personal Care,Personal Care,Meals,Personal Care,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Studying/Homework,Social Time,Social Time,
2/26/2026 18:15:38,Sophomore,Mechanical Engineering ,Off-Campus Housing,Varsity Athlete,Leisure/Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Studying/Homework,Class,Exercise/Sports/Practice,Studying/Homework,Meals,Studying/Homework,Studying/Homework,Social Time,Social Time,Social Time,Social Time,
2/26/2026 18:17:00,Sophomore,AE,Off-Campus Housing,"Varsity Athlete, Greek Life",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Meals,Personal Care,Class,Class,Class,Class,Class,Meals,Personal Care,Personal Care,Personal Care,Personal Care,Meals,Personal Care,Personal Care,Personal Care,Sleeping,
2/26/2026 18:18:17,Junior,AE,Off-Campus Housing,Varsity Athlete,Leisure/Entertainment,Leisure/Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Exercise/Sports/Practice,Meals,Class,Class,Leisure/Entertainment,Social Time,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Meals,Studying/Homework,Studying/Homework,Studying/Homework,
2/26/2026 18:22:50,Freshman,Mechanical Engineering ,On-Campus Housing,Varsity Athlete,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Leisure/Entertainment,Class,Meals,Class,Class,Meals,Class,Class,Exercise/Sports/Practice,Exercise/Sports/Practice,Meals,Other (Please Specify Below),Studying/Homework,Social Time,Social Time,Leisure/Entertainment,Bible study 7-8
2/26/2026 18:27:41,Sophomore,CE,Off-Campus Housing,Varsity Athlete,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Meals,Class,Class,Meals,Exercise/Sports/Practice,Leisure/Entertainment,Personal Care,Personal Care,Social Time,Social Time,Personal Care,Personal Care,Personal Care,Sleeping,
2/26/2026 18:27:41,Freshman,ME,On-Campus Housing,"Varsity Athlete, Greek Life",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Meals,Class,Class,Meals,Studying/Homework,Studying/Homework,Class,Class,Class,Meals,Exercise/Sports/Practice,Social Time,Social Time,Social Time,Leisure/Entertainment,Leisure/Entertainment,
2/26/2026 18:46:24,Freshman,Fintech ,On-Campus Housing,"Varsity Athlete, FCA",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Meals,Class,Class,Class,Studying/Homework,Studying/Homework,Studying/Homework,Exercise/Sports/Practice,Exercise/Sports/Practice,Meals,Meals,Meals,Meals,Meals,Meals,
2/26/2026 19:23:12,Freshman,ME,On-Campus Housing,"Club Sports, Greek Life",Studying/Homework,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Chores/Housework,Class,Meals,Class,Studying/Homework,Class,Meals,Chores/Housework,Exercise/Sports/Practice,Leisure/Entertainment,Leisure/Entertainment,Studying/Homework,Studying/Homework,
2/26/2026 20:38:22,Sophomore,ME,Off-Campus Housing,Varsity Athlete,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Meals,Exercise/Sports/Practice,Personal Care,Class,Meals,Studying/Homework,Class,Studying/Homework,Studying/Homework,Class,Meals,Personal Care,Leisure/Entertainment,Leisure/Entertainment,Sleeping,Sleeping,Sleeping,
2/26/2026 22:20:38,Junior,ECE,On-Campus Housing,"Performing Arts, Academic Clubs",Studying/Homework,Studying/Homework,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Class,Work,Work,Work,Studying/Homework,Studying/Homework,Studying/Homework,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Studying/Homework,Studying/Homework,Studying/Homework,
2/26/2026 22:26:43,Sophomore,Aerospace Engineering ,Off-Campus Housing,"Varsity Athlete, Greek Life",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Class,Class,Class,Meals,Class,Studying/Homework,Studying/Homework,Meals,Leisure/Entertainment,Social Time,Social Time,Social Time,Sleeping,Sleeping,
2/27/2026 9:10:53,Sophomore,Business ,Commuter,Varsity Athlete,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Meals,Traveling/Commuting,Class,Class,Class,Chores/Housework,Meals,Exercise/Sports/Practice,Exercise/Sports/Practice,Class,Meals,Social Time,Personal Care,Chores/Housework,Chores/Housework,Social Time,Social Time,Social Time,
3/1/2026 0:20:40,Junior,OIE,Greek Housing,Varsity Athlete,Social Time,Social Time,Social Time,Social Time,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Class,Class,Class,Class,Class,Leisure/Entertainment,Leisure/Entertainment,Leisure/Entertainment,Leisure/Entertainment,Leisure/Entertainment,Social Time,Social Time,Social Time,
3/1/2026 11:05:47,Senior,"CS, IMGD",Off-Campus Housing,"Performing Arts, Academic Clubs, Greek Life",Social Time,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Class,Studying/Homework,Studying/Homework,Class,Class,Studying/Homework,Studying/Homework,Studying/Homework,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Clubs/Organizations,Social Time,Social Time,Social Time,
3/2/2026 9:04:46,Junior,ME,Off-Campus Housing,Varsity Athlete,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Class,Work,Class,Class,Meals,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Exercise/Sports/Practice,Meals,Studying/Homework,Studying/Homework,Sleeping,
3/3/2026 12:16:39,Freshman,Civil engineering ,On-Campus Housing,"Varsity Athlete, Greek Life",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Class,Meals,Class,Exercise/Sports/Practice,Meals,Studying/Homework,Studying/Homework,Studying/Homework,Meals,Social Time,Social Time,Social Time,Leisure/Entertainment,Leisure/Entertainment,Sleeping,
